sample_id,source_group,y_true,label,completed,total_vulnerabilities,ror_count,detected
rf_008_08_CurveVirtualPrice_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_009_09_AMMSpotPrice_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_010_10_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_011_11_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_012_12_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_013_13_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_014_14_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_015_15_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_016_16_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_017_17_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_018_18_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_019_19_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_020_20_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_021_21_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_022_22_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_023_23_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_024_24_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_025_25_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_026_26_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_027_27_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_028_28_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_029_29_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_030_30_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_031_31_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_032_32_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_033_33_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_034_34_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_035_35_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_036_36_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_037_37_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_038_38_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_039_39_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_040_40_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_041_41_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_042_42_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_043_43_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_044_44_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_045_45_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_046_46_SharePrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_047_47_VirtualPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_048_48_RateProvider_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_049_49_LendingOracle_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_050_50_SpotPrice_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_051_51_PrePublishedRate_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_052_52_SharePriceCommit_ROR,ror_dataset_flat,1,ROR,1,3,3,1
rf_053_53_SpotPriceCommit_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_054_54_LendingHealthCommit_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_055_55_VirtualPriceCommit_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_056_56_TotalAssetsCommit_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_057_57_ReserveIndexCommit_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_058_58_CollateralIndexCommit_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_059_59_OracleRoundCommit_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_060_60_DebtShareCommit_ROR,ror_dataset_flat,1,ROR,1,2,2,1
rf_061_61_CachedTotalAssets_UpdateBeforeCall_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_062_62_SharePriceBurnAfterWithdraw_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_063_63_OracleReadCommittedAfterCall_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_064_64_RateProviderVersionedCommit_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_065_65_VirtualPriceNoExternalWindow_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_066_66_DepositWithReentrancyGuard_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_067_67_WithdrawWithReadLock_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_068_68_SpotPriceSnapshotBeforeCall_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_069_69_LendingHealthFinalizedBeforeCall_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_070_70_TotalAssetsPullThenCommit_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_071_71_ReserveIndexCommitBeforeCallback_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_072_72_CollateralIndexReadGuard_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_073_73_OracleRoundTwoPhaseCommit_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_074_74_DebtShareIndexConsistentUpdate_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_075_75_ExternalCallNoReadableState_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_076_76_ReadOnlyPureCalculation_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_077_77_ControllerWithdrawNoShareMutation_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_078_78_CachedRateExpiresDuringCall_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_079_79_SnapshotQueryUsesPreviousEpoch_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_080_80_SafeExternalOracleAdapter,ror_dataset_flat,0,Safe,1,0,0,0
rf_081_81_OracleCacheCommitBeforeHook_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_082_82_TotalSupplySnapshotBeforeTransfer_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_083_83_ShareIndexCommitBeforeCallback_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_084_84_RateProviderNoMidCallMutation_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_085_85_VirtualPriceLockDuringJoin_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_086_86_WithdrawBurnBeforeExternalCall_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_087_87_TwoPhaseOracleCommitBeforeNotify_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_088_88_LendingIndexCheckpointBeforeHook_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_089_89_ExternalCallAfterPriceFreeze_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_090_90_RewardAccumulatorCommitBeforeMint_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_091_91_StableAssetRatioCommitBeforeSwap_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_092_92_CallbackSeesCommittedEpoch_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_093_93_ReentrantReadBlockedByPhase_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_094_94_OraclePullThenCommitThenHook_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_095_95_LiquidityInvariantUpdatedBeforeCall_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_096_96_ReadOnlyUsesImmutableConfig_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_097_97_WithdrawPreviewAfterAccountingCommit_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_098_98_DebtIndexCommitBeforeLiquidationHook_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_099_99_CallbackCannotObservePendingRate_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_100_100_PriceReadRequiresFinalizedRound_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_101_101_ExternalStrategyAfterNavCommit_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_102_102_ReadOnlyOracleIgnoresTransientBalance_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_103_103_SafePreviewUsesPostStateSnapshot_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_104_104_CallbackReadsFinalizedAccumulator_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_105_105_ExternalCallNoPriceDependency_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_106_106_CommitBeforeERC777Hook_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_107_107_LockedPreviewDuringAssetPull_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_108_108_FinalizedOracleRoundBeforeCallback_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_109_109_StateVersionCheckedAfterCallback_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_110_110_SharePriceUsesCommittedLedger_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_111_111_OracleReadBlockedUntilSettled_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_112_112_ExternalCallAfterHealthFactorCommit_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_113_113_StableRateSnapshotBeforeNotify_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_114_114_CallbackCannotReadPrivateStaging_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_115_115_TotalAssetsReadUsesEscrowBalance_Safe,ror_dataset_flat,0,Safe,1,1,1,1
rf_116_116_CallbackAfterInvariantRestored_Safe,ror_dataset_flat,0,Safe,1,0,0,0
