"sample_id","target_path","y_true","label","source_group","recommended_eval","vulnerable_contract","vulnerable_function","vuln_line_start","vuln_line_end","secondary_function","secondary_line_start","secondary_line_end","vulnerable_path"
"ss_036_eth_0xd6b88257e91e4e4d4e990b3a858c849ef2dfde8c_yVault_ZapOut_V3_0_1","cases/smartreco_sources/eth_0xd6b88257e91e4e4d4e990b3a858c849ef2dfde8c_yVault_ZapOut_V3_0_1/contracts/yEarn/yVault_ZapOut_V3.sol","1","ROR","smartreco_solidity_sources","1","yVault_ZapOut_V3_0_1","ZapOut","175","236","","","","cases/smartreco_sources/eth_0xd6b88257e91e4e4d4e990b3a858c849ef2dfde8c_yVault_ZapOut_V3_0_1/contracts/yEarn/yVault_ZapOut_V3.sol"
"ss_038_eth_0xd6e194af3d9674b62d1b30ec676030c23961275e_AdminUpgradeabilityProxy","cases/smartreco_sources/eth_0xd6e194af3d9674b62d1b30ec676030c23961275e_AdminUpgradeabilityProxy/AdminUpgradeabilityProxy.sol","1","ROR","smartreco_solidity_sources","1","RariFundManager","deposit","464","467","","","","cases/smartreco_sources/eth_0xd6e194af3d9674b62d1b30ec676030c23961275e_AdminUpgradeabilityProxy/home/david/repc-latest-latest/contracts/RariFundManager.sol"
"ss_040_eth_0xe27f1a136c0114aded15b24b576ad7f71483dcca_WETHGateway","cases/smartreco_sources/eth_0xe27f1a136c0114aded15b24b576ad7f71483dcca_WETHGateway/WETHGateway.sol","1","ROR","smartreco_solidity_sources","1","WETHGateway","withdrawETH","1786","1803","","","","cases/smartreco_sources/eth_0xe27f1a136c0114aded15b24b576ad7f71483dcca_WETHGateway/WETHGateway.sol"
"ss_044_polygo_0xe150e792e0a18c9984a0630f051a607dee3c265d_CErc20Delegator","cases/smartreco_sources/polygo_0xe150e792e0a18c9984a0630f051a607dee3c265d_CErc20Delegator/contracts/compound/CErc20Delegator.sol","1","ROR","smartreco_solidity_sources","1","CErc20Delegator","fallback","87","109","","","","cases/smartreco_sources/polygo_0xe150e792e0a18c9984a0630f051a607dee3c265d_CErc20Delegator/contracts/compound/CErc20Delegator.sol"
"rf_001_01_ConicEthPool_Deposit_ROR","cases/ror_dataset_flat/01_ConicEthPool_Deposit_ROR.sol","1","ROR","ror_dataset_flat","1","ConicEthPool","depositFor","42","70","cachedTotalUnderlying","94","99","cases/ror_dataset_flat/01_ConicEthPool_Deposit_ROR.sol"
"rf_002_02_QuickSwapCErc20_Borrow_ROR","cases/ror_dataset_flat/02_QuickSwapCErc20_Borrow_ROR.sol","1","ROR","ror_dataset_flat","1","CErc20","borrowFresh","50","65","exchangeRateStored","81","88","cases/ror_dataset_flat/02_QuickSwapCErc20_Borrow_ROR.sol"
"rf_003_03_QuickSwapCErc20_Liquidation_ROR","cases/ror_dataset_flat/03_QuickSwapCErc20_Liquidation_ROR.sol","1","ROR","ror_dataset_flat","1","CErc20","liquidateBorrowFresh","70","94","exchangeRateStored","139","146","cases/ror_dataset_flat/03_QuickSwapCErc20_Liquidation_ROR.sol"
"rf_004_04_SturdyLendingPool_Borrow_ROR","cases/ror_dataset_flat/04_SturdyLendingPool_Borrow_ROR.sol","1","ROR","ror_dataset_flat","1","LendingPool","_executeBorrow","63","100","getUserAccountData","112","133","cases/ror_dataset_flat/04_SturdyLendingPool_Borrow_ROR.sol"
"rf_005_05_SturdyWETHGateway_Withdraw_Safe","cases/ror_dataset_flat/05_SturdyWETHGateway_Withdraw_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/05_SturdyWETHGateway_Withdraw_Safe.sol"
"rf_006_06_MidasCErc20_Borrow_Safe","cases/ror_dataset_flat/06_MidasCErc20_Borrow_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/06_MidasCErc20_Borrow_Safe.sol"
"rf_007_07_VaultSharePrice_ROR","cases/ror_dataset_flat/07_VaultSharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","VulnerableShareVault","withdraw","23","32","pricePerShare","19","21","cases/ror_dataset_flat/07_VaultSharePrice_ROR.sol"
"rf_008_08_CurveVirtualPrice_ROR","cases/ror_dataset_flat/08_CurveVirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","VulnerableCurveLikePool","removeLiquidity","25","34","get_virtual_price","21","23","cases/ror_dataset_flat/08_CurveVirtualPrice_ROR.sol"
"rf_009_09_AMMSpotPrice_ROR","cases/ror_dataset_flat/09_AMMSpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","VulnerableAMM","swapOut","21","25","spotPrice","17","19","cases/ror_dataset_flat/09_AMMSpotPrice_ROR.sol"
"rf_010_10_RateProvider_ROR","cases/ror_dataset_flat/10_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","VulnerableRateProviderToken","unwrap","23","31","getRate","19","21","cases/ror_dataset_flat/10_RateProvider_ROR.sol"
"rf_011_11_LendingOracle_ROR","cases/ror_dataset_flat/11_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","VulnerableCollateralOracle","withdrawCollateral","23","31","collateralIndex","19","21","cases/ror_dataset_flat/11_LendingOracle_ROR.sol"
"rf_012_12_VirtualPrice_ROR","cases/ror_dataset_flat/12_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool12","removeLiquidity","23","27","get_virtual_price","19","21","cases/ror_dataset_flat/12_VirtualPrice_ROR.sol"
"rf_013_13_RateProvider_ROR","cases/ror_dataset_flat/13_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken13","unwrap","23","27","getRate","19","21","cases/ror_dataset_flat/13_RateProvider_ROR.sol"
"rf_014_14_LendingOracle_ROR","cases/ror_dataset_flat/14_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex14","exit","23","27","collateralIndex","19","21","cases/ror_dataset_flat/14_LendingOracle_ROR.sol"
"rf_015_15_SpotPrice_ROR","cases/ror_dataset_flat/15_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM15","swapOut","43","47","spotPrice","18","20","cases/ror_dataset_flat/15_SpotPrice_ROR.sol"
"rf_016_16_SharePrice_ROR","cases/ror_dataset_flat/16_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault16","withdraw","23","27","pricePerShare","19","21","cases/ror_dataset_flat/16_SharePrice_ROR.sol"
"rf_017_17_VirtualPrice_ROR","cases/ror_dataset_flat/17_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool17","removeLiquidity","23","27","get_virtual_price","19","21","cases/ror_dataset_flat/17_VirtualPrice_ROR.sol"
"rf_018_18_RateProvider_ROR","cases/ror_dataset_flat/18_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken18","unwrap","23","27","getRate","19","21","cases/ror_dataset_flat/18_RateProvider_ROR.sol"
"rf_019_19_LendingOracle_ROR","cases/ror_dataset_flat/19_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex19","exit","23","27","collateralIndex","19","21","cases/ror_dataset_flat/19_LendingOracle_ROR.sol"
"rf_020_20_SpotPrice_ROR","cases/ror_dataset_flat/20_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM20","swapOut","43","47","spotPrice","18","20","cases/ror_dataset_flat/20_SpotPrice_ROR.sol"
"rf_021_21_SharePrice_ROR","cases/ror_dataset_flat/21_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault21","withdraw","23","27","pricePerShare","19","21","cases/ror_dataset_flat/21_SharePrice_ROR.sol"
"rf_022_22_VirtualPrice_ROR","cases/ror_dataset_flat/22_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool22","removeLiquidity","25","31","get_virtual_price","21","23","cases/ror_dataset_flat/22_VirtualPrice_ROR.sol"
"rf_023_23_RateProvider_ROR","cases/ror_dataset_flat/23_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken23","unwrap","23","28","getRate","19","21","cases/ror_dataset_flat/23_RateProvider_ROR.sol"
"rf_024_24_LendingOracle_ROR","cases/ror_dataset_flat/24_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex24","exit","23","28","collateralIndex","19","21","cases/ror_dataset_flat/24_LendingOracle_ROR.sol"
"rf_025_25_SpotPrice_ROR","cases/ror_dataset_flat/25_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM25","swapOut","21","24","spotPrice","17","19","cases/ror_dataset_flat/25_SpotPrice_ROR.sol"
"rf_026_26_SharePrice_ROR","cases/ror_dataset_flat/26_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault26","withdraw","23","29","pricePerShare","19","21","cases/ror_dataset_flat/26_SharePrice_ROR.sol"
"rf_027_27_VirtualPrice_ROR","cases/ror_dataset_flat/27_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool27","removeLiquidity","25","31","get_virtual_price","21","23","cases/ror_dataset_flat/27_VirtualPrice_ROR.sol"
"rf_028_28_RateProvider_ROR","cases/ror_dataset_flat/28_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken28","unwrap","23","28","getRate","19","21","cases/ror_dataset_flat/28_RateProvider_ROR.sol"
"rf_029_29_LendingOracle_ROR","cases/ror_dataset_flat/29_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex29","exit","23","28","collateralIndex","19","21","cases/ror_dataset_flat/29_LendingOracle_ROR.sol"
"rf_030_30_SpotPrice_ROR","cases/ror_dataset_flat/30_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM30","swapOut","21","24","spotPrice","17","19","cases/ror_dataset_flat/30_SpotPrice_ROR.sol"
"rf_031_31_SharePrice_ROR","cases/ror_dataset_flat/31_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault31","withdraw","23","29","pricePerShare","19","21","cases/ror_dataset_flat/31_SharePrice_ROR.sol"
"rf_032_32_VirtualPrice_ROR","cases/ror_dataset_flat/32_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool32","removeLiquidity","25","31","get_virtual_price","21","23","cases/ror_dataset_flat/32_VirtualPrice_ROR.sol"
"rf_033_33_RateProvider_ROR","cases/ror_dataset_flat/33_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken33","unwrap","23","28","getRate","19","21","cases/ror_dataset_flat/33_RateProvider_ROR.sol"
"rf_034_34_LendingOracle_ROR","cases/ror_dataset_flat/34_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex34","exit","23","28","collateralIndex","19","21","cases/ror_dataset_flat/34_LendingOracle_ROR.sol"
"rf_035_35_SpotPrice_ROR","cases/ror_dataset_flat/35_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM35","swapOut","21","24","spotPrice","17","19","cases/ror_dataset_flat/35_SpotPrice_ROR.sol"
"rf_036_36_SharePrice_ROR","cases/ror_dataset_flat/36_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault36","withdraw","23","29","pricePerShare","19","21","cases/ror_dataset_flat/36_SharePrice_ROR.sol"
"rf_037_37_VirtualPrice_ROR","cases/ror_dataset_flat/37_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool37","removeLiquidity","25","31","get_virtual_price","21","23","cases/ror_dataset_flat/37_VirtualPrice_ROR.sol"
"rf_038_38_RateProvider_ROR","cases/ror_dataset_flat/38_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken38","unwrap","23","28","getRate","19","21","cases/ror_dataset_flat/38_RateProvider_ROR.sol"
"rf_039_39_LendingOracle_ROR","cases/ror_dataset_flat/39_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex39","exit","23","28","collateralIndex","19","21","cases/ror_dataset_flat/39_LendingOracle_ROR.sol"
"rf_040_40_SpotPrice_ROR","cases/ror_dataset_flat/40_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM40","swapOut","21","24","spotPrice","17","19","cases/ror_dataset_flat/40_SpotPrice_ROR.sol"
"rf_041_41_SharePrice_ROR","cases/ror_dataset_flat/41_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault41","withdraw","23","29","pricePerShare","19","21","cases/ror_dataset_flat/41_SharePrice_ROR.sol"
"rf_042_42_VirtualPrice_ROR","cases/ror_dataset_flat/42_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool42","removeLiquidity","25","31","get_virtual_price","21","23","cases/ror_dataset_flat/42_VirtualPrice_ROR.sol"
"rf_043_43_RateProvider_ROR","cases/ror_dataset_flat/43_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken43","unwrap","23","28","getRate","19","21","cases/ror_dataset_flat/43_RateProvider_ROR.sol"
"rf_044_44_LendingOracle_ROR","cases/ror_dataset_flat/44_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex44","exit","23","28","collateralIndex","19","21","cases/ror_dataset_flat/44_LendingOracle_ROR.sol"
"rf_045_45_SpotPrice_ROR","cases/ror_dataset_flat/45_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM45","swapOut","21","24","spotPrice","17","19","cases/ror_dataset_flat/45_SpotPrice_ROR.sol"
"rf_046_46_SharePrice_ROR","cases/ror_dataset_flat/46_SharePrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORShareVault46","withdraw","23","29","pricePerShare","19","21","cases/ror_dataset_flat/46_SharePrice_ROR.sol"
"rf_047_47_VirtualPrice_ROR","cases/ror_dataset_flat/47_VirtualPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORCurvePool47","removeLiquidity","25","31","get_virtual_price","21","23","cases/ror_dataset_flat/47_VirtualPrice_ROR.sol"
"rf_048_48_RateProvider_ROR","cases/ror_dataset_flat/48_RateProvider_ROR.sol","1","ROR","ror_dataset_flat","1","RORRateProviderToken48","unwrap","23","28","getRate","19","21","cases/ror_dataset_flat/48_RateProvider_ROR.sol"
"rf_049_49_LendingOracle_ROR","cases/ror_dataset_flat/49_LendingOracle_ROR.sol","1","ROR","ror_dataset_flat","1","RORCollateralIndex49","exit","23","28","collateralIndex","19","21","cases/ror_dataset_flat/49_LendingOracle_ROR.sol"
"rf_050_50_SpotPrice_ROR","cases/ror_dataset_flat/50_SpotPrice_ROR.sol","1","ROR","ror_dataset_flat","1","RORSpotPriceAMM50","swapOut","21","24","spotPrice","17","19","cases/ror_dataset_flat/50_SpotPrice_ROR.sol"
"rf_051_51_PrePublishedRate_ROR","cases/ror_dataset_flat/51_PrePublishedRate_ROR.sol","1","ROR","ror_dataset_flat","1","PrePublishedRate51","unwrap","55","72","getRate","43","45","cases/ror_dataset_flat/51_PrePublishedRate_ROR.sol"
"rf_052_52_SharePriceCommit_ROR","cases/ror_dataset_flat/52_SharePriceCommit_ROR.sol","1","ROR","ror_dataset_flat","1","SharePriceCommit52","queueWithdraw","49","62","pricePerShare","37","39","cases/ror_dataset_flat/52_SharePriceCommit_ROR.sol"
"rf_053_53_SpotPriceCommit_ROR","cases/ror_dataset_flat/53_SpotPriceCommit_ROR.sol","1","ROR","ror_dataset_flat","1","SpotPriceCommit53","quoteSwapOut","43","54","spotPrice","34","36","cases/ror_dataset_flat/53_SpotPriceCommit_ROR.sol"
"rf_054_54_LendingHealthCommit_ROR","cases/ror_dataset_flat/54_LendingHealthCommit_ROR.sol","1","ROR","ror_dataset_flat","1","LendingHealthCommit54","borrow","47","64","accountHealth","32","34","cases/ror_dataset_flat/54_LendingHealthCommit_ROR.sol"
"rf_055_55_VirtualPriceCommit_ROR","cases/ror_dataset_flat/55_VirtualPriceCommit_ROR.sol","1","ROR","ror_dataset_flat","1","VirtualPriceCommit55","commitRemoveLiquidity","43","53","get_virtual_price","33","35","cases/ror_dataset_flat/55_VirtualPriceCommit_ROR.sol"
"rf_056_56_TotalAssetsCommit_ROR","cases/ror_dataset_flat/56_TotalAssetsCommit_ROR.sol","1","ROR","ror_dataset_flat","1","TotalAssetsCommit56","queueRedeem","37","49","exchangeRate","25","27","cases/ror_dataset_flat/56_TotalAssetsCommit_ROR.sol"
"rf_057_57_ReserveIndexCommit_ROR","cases/ror_dataset_flat/57_ReserveIndexCommit_ROR.sol","1","ROR","ror_dataset_flat","1","ReserveIndexCommit57","issueDebt","36","47","getReserveNormalizedIncome","28","30","cases/ror_dataset_flat/57_ReserveIndexCommit_ROR.sol"
"rf_058_58_CollateralIndexCommit_ROR","cases/ror_dataset_flat/58_CollateralIndexCommit_ROR.sol","1","ROR","ror_dataset_flat","1","CollateralIndexCommit58","exit","38","50","collateralIndex","30","32","cases/ror_dataset_flat/58_CollateralIndexCommit_ROR.sol"
"rf_059_59_OracleRoundCommit_ROR","cases/ror_dataset_flat/59_OracleRoundCommit_ROR.sol","1","ROR","ror_dataset_flat","1","OracleRoundCommit59","pushRound","36","48","latestAnswer","28","30","cases/ror_dataset_flat/59_OracleRoundCommit_ROR.sol"
"rf_060_60_DebtShareCommit_ROR","cases/ror_dataset_flat/60_DebtShareCommit_ROR.sol","1","ROR","ror_dataset_flat","1","DebtShareCommit60","mintDebtShares","32","48","debtIndex","24","26","cases/ror_dataset_flat/60_DebtShareCommit_ROR.sol"
"rf_061_61_CachedTotalAssets_UpdateBeforeCall_Safe","cases/ror_dataset_flat/61_CachedTotalAssets_UpdateBeforeCall_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/61_CachedTotalAssets_UpdateBeforeCall_Safe.sol"
"rf_062_62_SharePriceBurnAfterWithdraw_Safe","cases/ror_dataset_flat/62_SharePriceBurnAfterWithdraw_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/62_SharePriceBurnAfterWithdraw_Safe.sol"
"rf_063_63_OracleReadCommittedAfterCall_Safe","cases/ror_dataset_flat/63_OracleReadCommittedAfterCall_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/63_OracleReadCommittedAfterCall_Safe.sol"
"rf_064_64_RateProviderVersionedCommit_Safe","cases/ror_dataset_flat/64_RateProviderVersionedCommit_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/64_RateProviderVersionedCommit_Safe.sol"
"rf_065_65_VirtualPriceNoExternalWindow_Safe","cases/ror_dataset_flat/65_VirtualPriceNoExternalWindow_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/65_VirtualPriceNoExternalWindow_Safe.sol"
"rf_066_66_DepositWithReentrancyGuard_Safe","cases/ror_dataset_flat/66_DepositWithReentrancyGuard_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/66_DepositWithReentrancyGuard_Safe.sol"
"rf_067_67_WithdrawWithReadLock_Safe","cases/ror_dataset_flat/67_WithdrawWithReadLock_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/67_WithdrawWithReadLock_Safe.sol"
"rf_068_68_SpotPriceSnapshotBeforeCall_Safe","cases/ror_dataset_flat/68_SpotPriceSnapshotBeforeCall_Safe.sol","0","Safe","ror_dataset_flat","1","","","","","","","","cases/ror_dataset_flat/68_SpotPriceSnapshotBeforeCall_Safe.sol"
